Player,Year,Quarter,Min,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,
K. Leonard,2019,4,5,TOR,27,7,3,4,11,12,5,8,62.5,1,4,25,1,1,100,0,2,2,1,1,0,0,0,14.9,1,0,10,,,
K. Leonard,2019,4,4,TOR,27,7,3,4,10,12,5,8,62.5,1,4,25,1,1,100,0,2,2,1,0,0,0,0,15.9,1,0,8,,,
K. Leonard,2019,4,3,TOR,27,7,3,4,7,11,5,8,62.5,1,4,25,0,0,0,0,1,1,1,0,0,0,0,13.7,1,0,6,,,
K. Leonard,2019,4,2,TOR,27,6,2,4,4,9,4,5,80,1,2,50,0,0,0,0,1,1,0,0,0,0,0,10.2,1,0,-3,,,
K. Leonard,2019,4,1,TOR,27,5,2,3,2,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-5,,,
K. Leonard,2019,4,0.5,TOR,27,5,2,3,2,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-7,,,
K. Leonard,2017,4,5,SAS,26,3,2,1,6,11,4,7,57.1,2,3,66.7,1,1,100,0,1,1,1,0,1,0,0,16.7,1,0,15,,,
K. Leonard,2017,4,4,SAS,26,3,2,1,5,11,4,6,66.7,2,2,100,1,1,100,0,1,1,1,0,1,0,0,16.7,1,0,17,,,
K. Leonard,2017,4,3,SAS,26,3,2,1,4,11,4,6,66.7,2,2,100,1,1,100,0,1,1,1,0,0,0,0,13.7,1,0,12,,,
K. Leonard,2017,4,2,SAS,26,2,1,1,2,5,2,4,50,1,1,100,0,0,0,0,1,1,0,0,0,0,0,6.2,1,0,7,,,
K. Leonard,2017,4,1,SAS,26,2,1,1,1,5,2,3,66.7,1,1,100,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,,,
K. Leonard,2017,4,0.5,SAS,26,1,0,1,0,2,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,,,
K. Leonard,2016,4,5,SAS,25,3,1,2,5,2,0,1,0,0,1,0,2,2,100,0,0,0,0,0,0,0,1,2,1,0,-8,,,
K. Leonard,2016,4,4,SAS,25,2,0,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-10,,,
K. Leonard,2016,4,3,SAS,25,2,0,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,,,
K. Leonard,2016,4,2,SAS,25,2,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6,,,
K. Leonard,2016,4,1,SAS,25,2,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6,,,
K. Leonard,2016,4,0.5,SAS,25,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3,,,
K. Leonard,2015,4,5,SAS,24,3,1,2,6,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
K. Leonard,2015,4,4,SAS,24,3,1,2,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4,,,
K. Leonard,2015,4,3,SAS,24,3,1,2,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,,,
K. Leonard,2015,4,2,SAS,24,3,1,2,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,,,
K. Leonard,2015,4,1,SAS,24,3,1,2,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-6,,,
K. Leonard,2015,4,0.5,SAS,24,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4,,,
K. Leonard,2014,4,5,SAS,23,6,3,3,9,3,1,2,50,1,1,100,0,0,0,0,0,0,1,0,0,0,1,4.5,2,0,20,,,
K. Leonard,2014,4,4,SAS,23,6,3,3,6,3,1,2,50,1,1,100,0,0,0,0,0,0,1,0,0,0,1,4.5,2,0,11,,,
K. Leonard,2014,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Leonard,2014,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Leonard,2014,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Leonard,2014,4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Leonard,2013,4,0.5,SAS,22,6,3,3,10,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,2,0,3,,,
